Ligar um aparelho,Desligar um aparelho,Criar uma regra,Positivo,Negativo,Saudacao,Ajuda
por favor acende a luz da cabeceira,Desligue a música,"Desligue as luzes às 10:00, de segunda a sexta",,,,
liga o ar a 24 graus,Desliga o som,"Ligue o ar condicionado de domingo a domingo, às 20:00",,,,
Faça torradas na chapa.,Esqueceram as luzes ligadas na sala 3 do sexto andar.,"Desligue o ar condicionado, todos os dias, às 9:00",,,,
"A apresentação vai começar, ligue o projetor",Estou indo trabalhar.,"Ligue o filtro d’água, todos os dias às 17:00",,,,
"comecou o jonal, liga a tv",Desligar todas os equipamentos da casa do Rio de Janeiro.,Desligue o ventilador do quarto às 19:00,,,,
"Por favor, ligue o som ambiente.",Desligar o projetor.,Desligue o filtro d’água ás 10:00,,,,
Esquente a água no fogão.,Terminei a apresentação.,,,,,
Imprimir documentos,A apresentação do projeto terminou.,,,,,
Faz um café pra mim,A apresentação acabou.,,,,,
Prepara um cafezinho,A aula acabou.,,,,,
Ligue o som,Desligue o projetor.,,,,,
Quero ouvir rádio,Desligar as luzes da sala de reunião principal.,,,,,
Acionar o som,Todos já saíram do salão.,,,,,
Ligue o áudio,Estou saindo de casa agora.,,,,,
Ligue o ar condicionado,Acabou o expediente da empresa agora.,,,,,
Acione o ar,A reunião acabou.,,,,,
Liga a tevê,A reunião terminou agora.,,,,,
Ligue a televisão,Estou com frio no quarto.,,,,,
Ligue o alarme,Está frio na sala.,,,,,
Ligue as luzes da sala,Desligar as luzes da casa.,,,,,
Liga a luz da sala,Desligue as luzes de todas as salas de reunião.,,,,,
Liga o forno,Estamos congelando no primeiro andar.,,,,,
Queria ver um filme,Desliga o ar-condicionado do salão secundário.,,,,,
"Essa comida está fria, preciso esquentar",,,,,,
Tá escuro aqui,,,,,,
Vou ler um livro,,,,,,
Que canal chato,,,,,,
O oitavo andar está muito quente.,oitavo andar,,,,,
O quinto andar está um inferno.,quinto andar,,,,,
Ligar o ar condicionado da sala de reunião 5.,ar condicionado da sala de reuniao 5,,,,,
Estou com calor aqui no salão principal.,salao principal,,,,,
Liga o ar de todas as salas de reunião.,ar;todas as salas de reuniao,,,,,
Acenda as luzes de todas as salas do escritório.,luzes de todas as salas do escritorio,,,,,
Ligar as luzes somente dos andares 6 e 7.,luzes somente dos andares 6 e 7,,,,,
Clarear os quartos da casa do Rio de Janeiro.,quartos da casa do rio de janeiro,,,,,
"Está na hora de acordar, clareie o quarto do João e da Maria.",quarto do joao e da maria,,,,,
"Vou tomar café da manhã, prepare o pão na chapa e o café.",,,,,,
Vamos começar a reunião no auditório.,auditorio,,,,,
Ligar o projetor.,projetor,,,,,
A aula vai começar.,,,,,,
Vou começar a apresentação agora.,,,,,,
Ligue o projetor.,projetor,,,,,
Quero que ligue o projetor.,projetor,,,,,
"Por favor, ligue o projetor para a apresentação.",projetor,,,,,
"Cheguei em casa agora, prepara o quarto.",quarto,,,,,
Preparar o quarto de casa.,quarto da casa,,,,,
"O verão chegou, está na hora de ligar o ar.",ar,,,,,
Vou começar a apresentar o projeto.,,,,,,
Ligar a bomba da piscina.,bomba da pisicina,,,,,
Ativar a bomba da piscina.,bomda da piscina,,,,,
Liga a ventilação do quarto.,ventilação do quarto,,,,,
