Ligar um aparelho,Entities,Desligar um aparelho,Criar uma regra
Eu quero que você ligue o forno.,forno,apaga todas as luzes da cobertura,acende a luz da cozinha todo dia às 18 as 22
Ligar o computador.,computador,desliga o computador da cobertura,deixa a luz da cozinha acesa todo dia de 6 as 10 da noite
"Quero ver televisão, ligue por favor.",televisao,Desligue o forno,esquenta a comida por 1:30 seg
Tem como ligar o aparelho de som?,aparelho de som,Apague a luz,esquenta por 1 minuto e meio
Por favor ligue a máquina de lavar.,maquina de lavar,"Por favor, desligue o ar",Pode preparar um café às 7h?
Preciso que você ligue a secadora.,secadora,Desligue o projetor,"Quando for 22h, desligue a TV."
Quero o ventilador ligado agora.,ventilador,A apresentação acabou,Desligue o forno em 30 minutos.
Ligue a luz da cozinha agora,luz da cozinha,Acabe com a música,Desligue o ar condicionado as 2h da manhã.
"por favor, liga a luz do banheiro",luz do banheiro,"Vou dormir, desliga a tela do computador",Coloque o despertador para 6h30 amanhã
"liga a luz, por favor",luz,Desligue a cafeteira,"Deixe no modo soneca por mais 15 minutos, por favor"
ligar a luz deste cômodo,luz deste comodo,Desligue as luzes da sala,"Por favor, ligue para meu avô às 16h;"
ilumina a mesa da cozinha,mesa da cozinha,Desliga a luz da sala,Ligar a maquina de lavar toda quarta às 12h
"por favor, ilumina a mezinha",mesinha,Desliga o ar,Ligue o alarme todo dia as 19h
"por favor, aumenta a luminosidade em cima do computador",computador,Desligue o ar condicionado,"Sempre que a temperatura for maior que 35 graus, ligue o ar condicionado."
acende a luz da pia da cozinha,luz da piz da cozinha,Desligue a bomba d`água,Ligue as luzes da casa às 18:30
"tô cozinhando, acende a luz",luz,Desligue o filtro de ar,Desligue as luzes às 22:30
"tô me maquiando, acende a luz do espelho do meu banheiro",luz do espelho do meu banheiro,Desliga o forno,"Ligue o som as terças e quintas,das 18:30 as 20:00"
acende a luz do meu banheiro,luz do meu banheiro,Desliga o microondas,"Ligue as luzes às 8:30, de segunda a sexta"
por favor acende a luz da cabeceira,luz da cabeceira,Desligue a música,"Desligue as luzes às 10:00, de segunda a sexta"
liga o ar a 24 graus,ar,Desliga o som,"Ligue o ar condicionado de domingo a domingo, às 20:00"
Faça torradas na chapa.,chapa,Esqueceram as luzes ligadas na sala 3 do sexto andar.,"Desligue o ar condicionado, todos os dias, às 9:00"
"A apresentação vai começar, ligue o projetor",projetor,Estou indo trabalhar.,"Ligue o filtro d’água, todos os dias às 17:00"
"comecou o jonal, liga a tv",tv,Desligar todas os equipamentos da casa do Rio de Janeiro.,Desligue o ventilador do quarto às 19:00
"Por favor, ligue o som ambiente.",som ambiente,Desligar o projetor.,Desligue o filtro d’água ás 10:00
Esquente a água no fogão.,fogao,Terminei a apresentação.,
Imprimir documentos,,A apresentação do projeto terminou.,
Faz um café pra mim,café,A apresentação acabou.,
Prepara um cafezinho,cafezinho,A aula acabou.,
Ligue o som,som,Desligue o projetor.,
Quero ouvir rádio,radio,Desligar as luzes da sala de reunião principal.,
Acionar o som,som,Todos já saíram do salão.,
Ligue o áudio,audio,Estou saindo de casa agora.,
Ligue o ar condicionado,ar condicionado,Acabou o expediente da empresa agora.,
Acione o ar,ar condicionado,A reunião acabou.,
Liga a tevê,teve,A reunião terminou agora.,
Ligue a televisão,televisao,Estou com frio no quarto.,
Ligue o alarme,alarme,Está frio na sala.,
Ligue as luzes da sala,luzes da sala,Desligar as luzes da casa.,
Liga a luz da sala,luz da sala,Desligue as luzes de todas as salas de reunião.,
Liga o forno,forno,Estamos congelando no primeiro andar.,
Queria ver um filme,,Desliga o ar-condicionado do salão secundário.,
"Essa comida está fria, preciso esquentar",,,
Tá escuro aqui,,,
Vou ler um livro,,,
Que canal chato,,,
O oitavo andar está muito quente.,oitavo andar,,
O quinto andar está um inferno.,quinto andar,,
Ligar o ar condicionado da sala de reunião 5.,ar condicionado da sala de reuniao 5,,
Estou com calor aqui no salão principal.,salao principal,,
Liga o ar de todas as salas de reunião.,ar;todas as salas de reuniao,,
Acenda as luzes de todas as salas do escritório.,luzes de todas as salas do escritorio,,
Ligar as luzes somente dos andares 6 e 7.,luzes somente dos andares 6 e 7,,
Clarear os quartos da casa do Rio de Janeiro.,quartos da casa do rio de janeiro,,
"Está na hora de acordar, clareie o quarto do João e da Maria.",quarto do joao e da maria,,
"Vou tomar café da manhã, prepare o pão na chapa e o café.",,,
Vamos começar a reunião no auditório.,auditorio,,
Ligar o projetor.,projetor,,
A aula vai começar.,,,
Vou começar a apresentação agora.,,,
Ligue o projetor.,projetor,,
Quero que ligue o projetor.,projetor,,
"Por favor, ligue o projetor para a apresentação.",projetor,,
"Cheguei em casa agora, prepara o quarto.",quarto,,
Preparar o quarto de casa.,quarto da casa,,
"O verão chegou, está na hora de ligar o ar.",ar,,
Vou começar a apresentar o projeto.,,,
Ligar a bomba da piscina.,bomba da pisicina,,
Ativar a bomba da piscina.,bomda da piscina,,
Liga a ventilação do quarto.,ventilação do quarto,,
