original,anottated
"Por favor, ligue o som ambiente.","Por favor, ligue o [@som#B-DEVICE*] [@ambiente#I-DEVICE*]."
"Esquente a água no fogão.","Esquente a água no [@fogão#B-DEVICE*]."
"Imprimir documentos","Imprimir documentos"
"Faz um café pra mim","Faz um [@café#B-DEVICE*] pra mim"
"Prepara um cafezinho","Prepara um [@cafezinho#B-DEVICE*]"
"Ligue o som","Ligue o [@som#B-DEVICE*]"
"Quero ouvir rádio","Quero ouvir [@rádio#B-DEVICE*]"
"Acionar o som","Acionar o [@som#B-DEVICE*]"
"Ligue o áudio","Ligue o [@áudio#B-DEVICE*]"
"Ligue o ar condicionado","Ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"Acione o ar","Acione o [@ar#B-DEVICE*]"
"Liga a tv","Liga a [@tv#B-DEVICE*]"
"Ligue a televisão","Ligue a [@televisão#B-DEVICE*]"
"Ligue o alarme","Ligue o [@alarme#B-DEVICE*]"
"Ligue as luzes da sala","Ligue as [@luzes#B-DEVICE*] da sala"
"Liga a luz da sala","Liga a [@luz#B-DEVICE*] da sala"
"Liga o forno","Liga o [@forno#B-DEVICE*]"
"Queria ver um filme","Queria ver um filme"
"Essa comida está fria, preciso esquentar","Essa comida está fria, preciso esquentar"
"Tá escuro aqui","Tá escuro aqui"
"Vou ler um livro","Vou ler um livro"
"Que canal chato","Que canal chato"
"O oitavo andar está muito quente.","O oitavo andar está muito quente."
"O quinto andar está um inferno.","O quinto andar está um inferno."
"Ligar o ar condicionado da sala de reunião 5.","Ligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] da sala de reunião 5."
"Estou com calor aqui no salão principal.","Estou com calor aqui no salão principal."
"Liga o ar de todas as salas de reunião.","Liga o [@ar#B-DEVICE*] de todas as salas de reunião."
"Acenda as luzes de todas as salas do escritório.","Acenda as [@luzes#B-DEVICE*] de todas as salas do escritório."
"Ligar as luzes somente dos andares 6 e 7.","Ligar as [@luzes#B-DEVICE*] somente dos andares 6 e 7."
"Clarear os quartos da casa do Rio de Janeiro.","Clarear os quartos da casa do Rio de Janeiro."
"Está na hora de acordar, clareie o quarto do João.","Está na hora de acordar, clareie o quarto do João."
"Vou tomar café da manhã, prepare o pão na chapa e o café.","Vou tomar café da manhã, prepare o pão na [@chapa#B-DEVICE*] e o café."
"Vamos começar a reunião no auditório.","Vamos começar a reunião no auditório."
"Ligar o projetor.","Ligar o [@projetor#B-DEVICE*]."
"A aula vai começar.","A aula vai começar."
"Vou começar a apresentação agora.","Vou começar a apresentação agora."
"Ligue o projetor.","Ligue o [@projetor#B-DEVICE*]."
"Quero que ligue o projetor.","Quero que ligue o [@projetor#B-DEVICE*]."
"Por favor, ligue o projetor para a apresentação.","Por favor, ligue o [@projetor#B-DEVICE*] para a apresentação."
"Cheguei em casa agora, prepara o quarto.","Cheguei em casa agora, prepara o quarto."
"Preparar o quarto de casa.","Preparar o quarto de casa."
"O verão chegou, está na hora de ligar o ar.","O verão chegou, está na hora de ligar o [@ar#B-DEVICE*]."
"Vou começar a apresentar o projeto.","Vou começar a apresentar o projeto."
"Ligar a bomba da piscina.","Ligar a [@bomba#B-DEVICE*] [@da#I-DEVICE*] [@piscina#I-DEVICE*]."
"Ativar a bomba da piscina.","Ativar a [@bomba#B-DEVICE*] [@da#I-DEVICE*] [@piscina#I-DEVICE*]."
"Liga a ventilação do quarto.","Liga a [@ventilação#B-DEVICE*] do quarto."
"Desligue a luz do quarto por favor.","Desligue a [@luz#B-DEVICE*] do quarto por favor."
"Desligar a TV.","Desligar a [@TV#B-DEVICE*]."
"Desliga o ar condicionado.","Desliga o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]."
"Desligar música.","Desligar [@música#B-DEVICE*]."
"Para a música.","Para a [@música#B-DEVICE*]."
"Apaga a luz da cozinha.","Apaga a [@luz#B-DEVICE*] da cozinha."
"Chega de luz no corredor.","Chega de [@luz#B-DEVICE*] no corredor."
"Está claro demais na sala.","Está claro demais na sala."
"Meu quarto está claro demais.","Meu quarto está claro demais."
"Tem muita luz na cozinha.","Tem muita [@luz#B-DEVICE*] na cozinha."
"Chega de vento, por favor.","Chega de [@vento#B-DEVICE*], por favor."
"A sala está vazia.","A sala está vazia."
"Não tem mais ninguém na sala.","Não tem mais ninguém na sala."
"Desligue a TV da sala;","Desligue a [@TV#B-DEVICE*] da sala;"
"Pode desligar o ventilador do quarto;","Pode desligar o [@ventilador#B-DEVICE*] do quarto;"
"Quero que desligue o som da piscina;","Quero que desligue o [@som#B-DEVICE*] da piscina;"
"Desligar boiler da casa","Desligar [@boiler#B-DEVICE*] da casa"
"Pode desligar o ar condicionado por favor?","Pode desligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] por favor?"
"Desligue o ventilador da cozinha;","Desligue o [@ventilador#B-DEVICE*] da cozinha;"
"Desligue as luzes do quarto;","Desligue as [@luzes#B-DEVICE*] do quarto;"
"Desligue apenas as primeiras luzes da sala;","Desligue apenas as primeiras [@luzes#B-DEVICE*] da sala;"
"Desligue todos as luzes da casa;","Desligue todos as [@luzes#B-DEVICE*] da casa;"
"Desligar o ar condicionado do escritório.","Desligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do escritório."
"Desligue o ar condicionado","Desligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"Desligue o ar","Desligue o [@ar#B-DEVICE*]"
"Desligue o ar condicionado do [cômodo]","Desligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do [cômodo]"
"Desligue a luz do [cômodo]","Desligue a [@luz#B-DEVICE*] do [cômodo]"
"Desligue a iluminação da fachada","Desligue a [@iluminação#B-DEVICE*] da fachada"
"Desligue o sistema de segurança","Desligue o [@sistema#B-DEVICE*] [@de#I-DEVICE*] [@segurança#I-DEVICE*]"
"Desligue o ventilador no [cômodo]","Desligue o [@ventilador#B-DEVICE*] no [cômodo]"
"Desative o sistema de segurança","Desative o [@sistema#B-DEVICE*] [@de#I-DEVICE*] [@segurança#I-DEVICE*]"
"Desative o alarme da porta","Desative o [@alarme#B-DEVICE*] da porta"
"Apague a luz do [cômodo]","Apague a [@luz#B-DEVICE*] do [cômodo]"
"Desliga a TV","Desliga a [@TV#B-DEVICE*]"
"Apaga o abajur","Apaga o [@abajur#B-DEVICE*]"
"Desliga as luzes","Desliga as [@luzes#B-DEVICE*]"
"Nenhuma luz acesa no quarto","Nenhuma [@luz#B-DEVICE*] acesa no quarto"
"Ar condicionado desligado","[@Ar#B-DEVICE*] [@condicionado#I-DEVICE*] desligado"
"Apaga a tela da tv","Apaga a tela da [@tv#B-DEVICE*]"
"Não quero mais assistir TV","Não quero mais assistir [@TV#B-DEVICE*]"
"Por hoje chega de música","Por hoje chega de [@música#B-DEVICE*]"
"Desligar computador","Desligar [@computador#B-DEVICE*]"
"A comida já está suficientemente quente","A comida já está suficientemente quente"
"desligue o ar condicionado do quarto","desligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto"
"desligar o ar condicionado do quarto","desligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto"
"desliga o ar condicionado do quarto","desliga o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do quarto"
"não funcione o ar condicionado","não funcione o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"faça não funcionar o ar condicionado","faça não funcionar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"ponha em não funcionamento o ar condicionado","ponha em não funcionamento o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"desenergize o ar condicionado","desenergize o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"desenergizar o ar condicionado","desenergizar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"apague o ar condicionado","apague o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"apagar o ar condicionado","apagar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"Desligue o rádio.","Desligue o [@rádio#B-DEVICE*]."
"Apague as luzes do banheiro.","Apague as [@luzes#B-DEVICE*] do banheiro."
"Pode desligar o ar condicionado, por favor?","Pode desligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*], por favor?"
"desliga a luz","desliga a [@luz#B-DEVICE*]"
"desliga o forno","desliga o [@forno#B-DEVICE*]"
"apaga a luz","apaga a [@luz#B-DEVICE*]"
"apaga todas as luzes da cobertura","apaga todas as [@luzes#B-DEVICE*] da cobertura"
"desliga o computador da cobertura","desliga o [@computador#B-DEVICE*] da cobertura"
"Desligue o forno","Desligue o [@forno#B-DEVICE*]"
"Apague a luz","Apague a [@luz#B-DEVICE*]"
"Por favor, desligue o ar","Por favor, desligue o [@ar#B-DEVICE*]"
"Desligue o projetor","Desligue o [@projetor#B-DEVICE*]"
"A apresentação acabou","A apresentação acabou"
"Acabe com a música","Acabe com a [@música#B-DEVICE*]"
"Vou dormir, desliga a tela do computador","Vou dormir, desliga a tela do [@computador#B-DEVICE*]"
"Desligue a cafeteira","Desligue a [@cafeteira#B-DEVICE*]"
"Desligue as luzes da sala","Desligue as [@luzes#B-DEVICE*] da sala"
"Desliga a luz da sala","Desliga a [@luz#B-DEVICE*] da sala"
"Desliga o ar","Desliga o [@ar#B-DEVICE*]"
"Desligue o ar condicionado","Desligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]"
"Desligue a bomba d`água","Desligue a [@bomba#B-DEVICE*] [@d`água#I-DEVICE*]"
"Desligue o filtro de ar","Desligue o [@filtro#B-DEVICE*] [@de#I-DEVICE*] [@ar#I-DEVICE*]"
"Desliga o forno","Desliga o [@forno#B-DEVICE*]"
"Desliga o microondas","Desliga o [@microondas#B-DEVICE*]"
"Desligue a música","Desligue a [@música#B-DEVICE*]"
"Desliga o som","Desliga o [@som#B-DEVICE*]"
"Esqueceram as luzes ligadas na sala 3 do sexto andar.","Esqueceram as [@luzes#B-DEVICE*] ligadas na sala 3 do sexto andar."
"Estou indo trabalhar.","Estou indo trabalhar."
"Desligar todas os equipamentos da casa do Rio de Janeiro.","Desligar todas os [@equipamentos#B-DEVICE*] da casa do Rio de Janeiro."
"Desligar o projetor.","Desligar o [@projetor#B-DEVICE*]."
"Terminei a apresentação.","Terminei a apresentação."
"A apresentação do projeto terminou.","A apresentação do projeto terminou."
"A apresentação acabou.","A apresentação acabou."
"A aula acabou.","A aula acabou."
"Desligue o projetor.","Desligue o [@projetor#B-DEVICE*]."
"Desligar as luzes da sala de reunião principal.","Desligar as [@luzes#B-DEVICE*] da sala de reunião principal."
"Todos já saíram do salão.","Todos já saíram do salão."
"Estou saindo de casa agora.","Estou saindo de casa agora."
"Acabou o expediente da empresa agora.","Acabou o expediente da empresa agora."
"A reunião acabou.","A reunião acabou."
"A reunião terminou agora.","A reunião terminou agora."
"Estou com frio no quarto.","Estou com frio no quarto."
"Está frio na sala.","Está frio na sala."
"Desligar as luzes da casa.","Desligar as [@luzes#B-DEVICE*] da casa."
"Desligue as luzes de todas as salas de reunião.","Desligue as [@luzes#B-DEVICE*] de todas as salas de reunião."
"Estamos congelando no primeiro andar.","Estamos congelando no primeiro andar."
"Desliga o ar-condicionado do salão secundário.","Desliga o [@ar#B-DEVICE*][@-#I-DEVICE*][@condicionado#I-DEVICE*] do salão secundário."
"Ligue o ar condicionado as 3 da tarde hoje.","Ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] as [@3#B-SCHEDULE*] da [@tarde#I-SCHEDULE*] hoje."
"Ligar a luz das 15 às 18 horas, todo dia.","Ligar a [@luz#B-DEVICE*] das [@15#B-SCHEDULE*] às [@18#I-SCHEDULE*] horas, todo dia."
"Apagar as luzes do quarto as 22 horas.","Apagar as [@luzes#B-DEVICE*] do quarto as [@22#B-SCHEDULE*] horas."
"Ligar a cafeteira às seis e quarenta e cinco, segundas e quartas.","Ligar a [@cafeteira#B-DEVICE*] às [@seis#B-SCHEDULE*] e [@quarenta#I-SCHEDULE*] e [@cinco#I-SCHEDULE*], segundas e quartas."
"Desligue todos os eletrônicos da casa às 21 horas.","Desligue todos os [@eletrônicos#B-DEVICE*] da casa às [@21#B-SCHEDULE*] horas."
"Desligar o ventilador da sala as 15 horas.","Desligar o [@ventilador#B-DEVICE*] da sala as [@15#B-SCHEDULE*] horas."
"Faz café pra mim todo dia às sete, por favor.","Faz [@café#B-DEVICE*] pra mim todo dia às [@sete#B-SCHEDULE*], por favor."
"Desligue todas as luzes e ar condicionados da casa às 9 horas, todo dia.","Desligue todas as [@luzes#B-DEVICE*] e [@ar#B-DEVICE*] [@condicionados#I-DEVICE*] da casa às [@9#B-SCHEDULE*] horas, todo dia."
"Sempre toque uma música às oito da manhã, de segunda à sexta.","Sempre toque uma [@música#B-DEVICE*] às [@oito#B-SCHEDULE*] da [@manhã#I-SCHEDULE*], de segunda à sexta."
"Liga o ar condicionado pra mim daqui a meia hora ok?","Liga o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] pra mim daqui a [@meia#B-SCHEDULE*] [@hora#I-SCHEDULE*] ok?"
"Faz café pra mim daqui a cinco minutos por favor.","Faz [@café#B-DEVICE*] pra mim daqui a [@cinco#B-SCHEDULE*] [@minutos#I-SCHEDULE*] por favor."
"Ligar a TV da sala na quarta feira as 21:30 e desligar as 23:00;","Ligar a [@TV#B-DEVICE*] da sala na quarta feira as [@21:30#B-SCHEDULE*] e desligar as [@23:00#I-SCHEDULE*];"
"Ligar o ar condicionado quando a temperatura ambiente estiver acima de 25°C;","Ligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] quando a temperatura ambiente estiver acima de 25°C;"
"Desligar o ventilador as 09:00 AM;","Desligar o [@ventilador#B-DEVICE*] as [@09:00#B-SCHEDULE*] [@AM#I-SCHEDULE*];"
"Quero que a TV do quarto ligue as 13:00 de sábado;","Quero que a [@TV#B-DEVICE*] do quarto ligue as [@13:00#B-SCHEDULE*] de sábado;"
"Me acorde na segunda feira as 6 da manhã;","Me acorde na segunda feira as [@6#B-SCHEDULE*] da manhã;"
"O PC deve ligar as 13:00 da quarta feira;","O [@PC#B-DEVICE*] deve ligar as [@13:00#B-SCHEDULE*] da quarta feira;"
"Apagar as luzes da sala as 00:20;","Apagar as [@luzes#B-DEVICE*] da sala as [@00:20#B-SCHEDULE*];"
"Pode ligar as luzes na sexta a noite as 19:00?","Pode ligar as [@luzes#B-DEVICE*] na sexta a noite as [@19:00#B-SCHEDULE*]?"
"Desligar o ar condicionado as 07:00;","Desligar o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] as [@07:00#B-SCHEDULE*];"
"Desligar o video-game as 19:00 todos os dias da semana.","Desligar o [@video#B-DEVICE*][@-#I-DEVICE*][@game#I-DEVICE*] as [@19:00#B-SCHEDULE*] todos os dias da semana."
"Ligue a luz da fachada das 18 às 7 horas todos os dias","Ligue a [@luz#B-DEVICE*] da fachada das [@18#B-SCHEDULE*] às [@7#I-SCHEDULE*] horas todos os dias"
"Desligue o ar condicionado do [cômodo] às 8 horas de segunda à sexta","Desligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do [cômodo] às 8 horas de segunda à sexta"
"Ligue/ative o sistema de irrigação às 5 horas dia sim, dia não","Ligue/ative o [@sistema#B-DEVICE*] [@de#I-DEVICE*] [@irrigação#I-DEVICE*] às 5 horas dia sim, dia não"
"Ligue o ar condicionado do [cômodo] meio dia e meia","Ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] do [cômodo] meio dia e meia"
"Ligue o ar Condicionado do [cômodo] das 12 horas até seis da tarde/noite","Ligue o [@ar#B-DEVICE*] [@Condicionado#I-DEVICE*] do [cômodo] das 12 horas até seis da tarde/noite"
"Mantenha as luzes do [cômodo] acesas até às 6 horas","Mantenha as [@luzes#B-DEVICE*] do [cômodo] acesas até às [@6#B-SCHEDULE*] horas"
"Programe o alarme para despertar segundas, quartas e sextas às dez da manhã/noite","Programe o [@alarme#B-DEVICE*] para despertar segundas, quartas e sextas às dez da manhã/noite"
"Ligue o rádio na estação x às sete da manhã/noite (ou 19 horas)","Ligue o [@rádio#B-DEVICE*] na estação x às sete da manhã/noite (ou 19 horas)"
"Acenda as luzes da fachada das seis da tarde/noite até às seis da manhã.","Acenda as [@luzes#B-DEVICE*] da fachada das seis da tarde/noite até às seis da manhã."
"Acenda a luz do [cômodo] às seis da tarde","Acenda a [@luz#B-DEVICE*] do [cômodo] às [@seis#B-SCHEDULE*] da [@tarde#I-SCHEDULE*]"
"Ligue o ar por x minutos/horas","Ligue o [@ar#B-DEVICE*] por x minutos/horas"
"Ligue o ar por meia hora","Ligue o [@ar#B-DEVICE*] por [@meia#B-SCHEDULE*] [@hora#I-SCHEDULE*]"
"Desliga a TV depois do jornal das 21:00 horas","Desliga a [@TV#B-DEVICE*] depois do jornal das [@21:00#B-SCHEDULE*] horas"
"Apaga o abajur depois de 30 minutos dele aceso","Apaga o [@abajur#B-DEVICE*] depois de [@30#B-SCHEDULE*] [@minutos#I-SCHEDULE*] dele aceso"
"A luz da cozinha fica ligada de 8:00 da manhã até 22:00 da noite","A [@luz#B-DEVICE*] da cozinha fica ligada de [@8:00#B-SCHEDULE*] da [@manhã#I-SCHEDULE*] até [@22:00#I-SCHEDULE*] da [@noite#I-SCHEDULE*]"
"Todo dia as 7:00 da manhã tocar despertador","Todo dia as 7:00 da manhã tocar despertador"
"Manter o ar condicionado na temperatura de 24 graus de 22:00 as 7:00 horas","Manter o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] na temperatura de 24 graus de [@22:00#B-SCHEDULE*] as [@7:00#I-SCHEDULE*] horas"
"Apaga a tela da tv depois das 22:00 horas caso esteja ligada","Apaga a tela da [@tv#B-DEVICE*] depois das [@22:00#B-SCHEDULE*] horas caso esteja ligada"
"O ar fica ligado de 7:00 as 16:00 horas","O [@ar#B-DEVICE*] fica ligado de [@7:00#B-SCHEDULE*] as [@16:00#I-SCHEDULE*] horas"
"sempre desligue o ar condicionado as 9:00","sempre desligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] as [@9:00#B-SCHEDULE*]"
"sempre ligue o ar condicionado as 21:00","sempre ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] as [@21:00#B-SCHEDULE*]"
"sempre ligue o ar condicionado no período de 9:00 as 18:00","sempre ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] no período de [@9:00#B-SCHEDULE*] as [@18:00#I-SCHEDULE*]"
"sempre ligue o ar condiconado no intervalo de 9:00 as 18:00","sempre ligue o [@ar#B-DEVICE*] [@condiconado#I-DEVICE*] no intervalo de [@9:00#B-SCHEDULE*] as [@18:00#I-SCHEDULE*]"
"ligue o ar condicionado as 21:00","ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] as [@21:00#B-SCHEDULE*]"
"ligue o ar condicionado no horário comercial","ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] no [@horário#B-SCHEDULE*] [@comercial#I-SCHEDULE*]"
"ligue o ar condicionado fora do horário comercial","ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] fora do [@horário#B-SCHEDULE*] [@comercial#I-SCHEDULE*]"
"ligue o ar condicionado no horário de dormir","ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] no [@horário#B-SCHEDULE*] [@de#I-SCHEDULE*] [@dormir#I-SCHEDULE*]"
"ligue o ar condicionado a noite","ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] a [@noite#B-SCHEDULE*]"
"ligue o ar condicionado a tarde","ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] a [@tarde#B-SCHEDULE*]"
"ligue o ar condicionado pela manhã","ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] pela [@manhã#B-SCHEDULE*]"
"desliga o forno daqui a 15 minutos","desliga o [@forno#B-DEVICE*] daqui a [@15#B-SCHEDULE*] [@minutos#I-SCHEDULE*]"
"desliga a TV daqui a 1 hora e meia","desliga a [@TV#B-DEVICE*] daqui a [@1#B-SCHEDULE*] [@hora#I-SCHEDULE*] e [@meia#I-SCHEDULE*]"
"desliga a TV daqui a 10 minutos","desliga a [@TV#B-DEVICE*] daqui a [@10#B-SCHEDULE*] [@minutos#I-SCHEDULE*]"
"desliga a TV em 15 minutos","desliga a [@TV#B-DEVICE*] em [@15#B-SCHEDULE*] [@minutos#I-SCHEDULE*]"
"liga a TV todo dia às sete e 30 da manhã menos sabado e domingo","liga a [@TV#B-DEVICE*] todo dia às [@sete#B-SCHEDULE*] e [@30#I-SCHEDULE*] da [@manhã#I-SCHEDULE*] menos sabado e domingo"
