Ligar um aparelho,Desligar um aparelho,Criar uma regra
ligar o ar condicionado do quarto,desenergizar o ar condicionado,ligue o ar condicionado pela manhã
liga o ar condicionado do quarto,apague o ar condicionado,desliga o forno daqui a 15 minutos
diminua a temperatura do ar condicionado do quarto,apagar o ar condicionado,desliga a TV daqui a 1 hora e meia
aumente a temperatura do ar condicionado do quarto,Desligue o rádio.,desliga a TV daqui a 10 minutos
funcione o ar condicionado,Apague as luzes do banheiro.,desliga a TV em 15 minutos
faça funcionar o ar condicionado,"Pode desligar o ar condicionado, por favor?",liga a TV todo dia às sete e 30 da manhã menos sabado e domingo
ponha em funcionamento o ar condicionado,desliga a luz,liga a TV de segunda a sexta pela manhã as 7 e meia
energize o ar condicionado,desliga o forno,desliga a TV todo dia depois da Ana Maria Braga
energizar o ar condicionado,apaga a luz,liga no jornal da globo todo dia a noite quando começar
Ligue a televisão.,apaga todas as luzes da cobertura,acende a luz da cozinha todo dia às 18 as 22
Você pode acender a luz da sala?,desliga o computador da cobertura,deixa a luz da cozinha acesa todo dia de 6 as 10 da noite
Eu quero que você ligue o forno.,Desligue o forno,esquenta a comida por 1:30 seg
Ligar o computador.,Apague a luz,esquenta por 1 minuto e meio
"Quero ver televisão, ligue por favor.","Por favor, desligue o ar",Pode preparar um café às 7h?
Tem como ligar o aparelho de som?,Desligue o projetor,"Quando for 22h, desligue a TV."
Por favor ligue a máquina de lavar.,A apresentação acabou,Desligue o forno em 30 minutos.
Preciso que você ligue a secadora.,Acabe com a música,Desligue o ar condicionado as 2h da manhã.
Quero o ventilador ligado agora.,"Vou dormir, desliga a tela do computador",Coloque o despertador para 6h30 amanhã
Ligue a luz da cozinha agora,Desligue a cafeteira,"Deixe no modo soneca por mais 15 minutos, por favor"
"por favor, liga a luz do banheiro",Desligue as luzes da sala,"Por favor, ligue para meu avô às 16h;"
"liga a luz, por favor",Desliga a luz da sala,Ligar a maquina de lavar toda quarta às 12h
ligar a luz deste cômodo,Desliga o ar,Ligue o alarme todo dia as 19h
ilumina a mesa da cozinha,Desligue o ar condicionado,"Sempre que a temperatura for maior que 35 graus, ligue o ar condicionado."
"por favor, ilumina a mezinha",Desligue a bomba d`água,Ligue as luzes da casa às 18:30
"por favor, aumenta a luminosidade em cima do computador",Desligue o filtro de ar,Desligue as luzes às 22:30
acende a luz da pia da cozinha,Desliga o forno,"Ligue o som as terças e quintas,das 18:30 as 20:00"
"tô cozinhando, acende a luz",Desliga o microondas,"Ligue as luzes às 8:30, de segunda a sexta"
"tô me maquiando, acende a luz do espelho do meu banheiro",Desligue a música,"Desligue as luzes às 10:00, de segunda a sexta"
acende a luz do meu banheiro,Desliga o som,"Ligue o ar condicionado de domingo a domingo, às 20:00"
por favor acende a luz da cabeceira,Esqueceram as luzes ligadas na sala 3 do sexto andar.,"Desligue o ar condicionado, todos os dias, às 9:00"
liga o ar a 24 graus,Estou indo trabalhar.,"Ligue o filtro d’água, todos os dias às 17:00"
Faça torradas na chapa.,Desligar todas os equipamentos da casa do Rio de Janeiro.,Desligue o ventilador do quarto às 19:00
"A apresentação vai começar, ligue o projetor",Desligar o projetor.,Desligue o filtro d’água ás 10:00
Coloque a tv no jornal nacional.,Terminei a apresentação.,
"Por favor, ligue o som ambiente.",A apresentação do projeto terminou.,
Esquente a água no fogão.,A apresentação acabou.,
Imprimir documentos,A aula acabou.,
Faz um café pra mim,Desligue o projetor.,
Prepara um cafezinho,Desligar as luzes da sala de reunião principal.,
Ligue o som,Todos já saíram do salão.,
Quero ouvir rádio,Estou saindo de casa agora.,
Acionar o som,Acabou o expediente da empresa agora.,
Ligue o áudio,A reunião acabou.,
Ligue o ar condicionado,A reunião terminou agora.,
Acione o ar,Estou com frio no quarto.,
Liga a tevê,Está frio na sala.,
Ligue a televisão,Desligar as luzes da casa.,
Ligue o alarme,Desligue as luzes de todas as salas de reunião.,
Ligue as luzes da sala,Estamos congelando no primeiro andar.,
Liga a luz da sala,Desliga o ar-condicionado do salão secundário.,
Liga o forno,,
Queria ver um filme novo de ficção,,
"Essa comida está fria, preciso esquentar",,
Tá escuro aqui,,
Vou ler um livro,,
Que canal chato,,
O oitavo andar está muito quente.,,
O quinto andar está um inferno.,,
Ligar o ar condicionado da sala de reunião 5.,,
Estou com calor aqui no salão principal.,,
Liga o ar de todas as salas de reunião.,,
Acenda as luzes de todas as salas do escritório.,,
Ligar as luzes somente dos andares 6 e 7.,,
Clarear os quartos da casa do Rio de Janeiro.,,
"Está na hora de acordar, clareie o quarto do João e da Maria.",,
"Vou tomar café da manhã, prepare o pão na chapa e o café.",,
Vamos começar a reunião no auditório.,,
Ligar o projetor.,,
A aula vai começar.,,
Vou começar a apresentação agora.,,
Ligue o projetor.,,
Quero que ligue o projetor.,,
"Por favor, ligue o projetor para a apresentação.",,
"Cheguei em casa agora, prepara o quarto.",,
Preparar o quarto de casa.,,
"O verão chegou, está na hora de ligar o ar.",,
Vou começar a apresentar o projeto.,,
Ligar a bomba da piscina.,,
Ativar a bomba da piscina.,,
Liga a ventilação do quarto.,,
